,Budget,Profit
1017,60000000,-9192361
1018,60000000,-9181250
1019,35000000,-9136085
1020,10000000,-9133222
1021,35000000,-9128166
1022,10000000,-9117710
1023,10000000,-9099074
1024,50000000,-9094723
1025,30000000,-9018367
1026,40000000,-9018150
1027,11000000,-9012238
1028,40000000,-9006456
1029,26000000,-9000954
1030,15000000,-9000000
1031,9000000,-8999838
1032,10000000,-8988946
1033,9000000,-8972555
1034,25000000,-8972134
1035,20000000,-8965564
1036,60000000,-8954199
1037,19000000,-8950114
1038,10000000,-8944346
1039,250000000,-8936125
1040,45000000,-8935090
1041,209000000,-8930592
1042,65000000,-8916034
1043,9000000,-8887065
1044,25000000,-8881923
1045,12000000,-8851518
1046,20000000,-8830469
1047,25000000,-8752225
1048,50000000,-8743723
1049,10000000,-8723016
1050,10000000,-8690151
1051,8900000,-8674623
1052,9000000,-8650382
1053,12800000,-8642509
1054,15000000,-8626307
1055,39000000,-8600000
1056,15000000,-8590794
1057,30000000,-8573195
1058,109000000,-8553105
1059,200000000,-8549125
1060,50000000,-8517793
1061,35000000,-8505389
1062,22000000,-8444012
1063,8400000,-8394275
1064,8500000,-8368825
1065,10000000,-8368161
1066,75000000,-8363615
1067,8500000,-8359756
1068,17000000,-8337682
1069,10000000,-8245681
1070,11500000,-8224415
1071,20000000,-8216000
1072,30000000,-8199698
1073,11000000,-8192146
1074,50000000,-8185137
1075,35000000,-8185043
1076,11000000,-8167174
1077,30000000,-8164216
1078,40000000,-8163255
1079,13000000,-8142624
1080,58000000,-8124411
1081,9000000,-8116113
1082,95000000,-8102818
1083,13000000,-8080104
1084,135000000,-8069340
1085,10000000,-8060559
1086,12000000,-8049706
1087,25000000,-8030610
1088,9000000,-8000000
1089,13500000,-7998060
1090,13000000,-7997690
1091,12000000,-7981305
1092,11000000,-7965819
1093,9000000,-7953834
1094,8000000,-7946519
1095,18500000,-7937613
1096,11000000,-7925162
1097,10000000,-7913655
1098,25000000,-7900000
1099,8000000,-7899497
1100,8000000,-7891338
1101,25000000,-7885118
1102,8000000,-7882810
1103,8000000,-7872856
1104,20000000,-7865580
1105,10000000,-7814734
1106,53000000,-7792888
1107,15000000,-7780422
1108,22000000,-7747170
1109,15500000,-7725270
1110,28000000,-7714482
1111,17000000,-7713686
1112,24000000,-7709024
1113,8000000,-7701890
1114,8000000,-7696561
1115,70000000,-7678961
1116,10000000,-7668682
1117,8000000,-7663544
1118,8000000,-7601580
1119,20000000,-7601372
1120,17000000,-7569012
1121,18000000,-7505506
1122,130000000,-7487948
1123,80000000,-7484640
1124,30000000,-7474079
1125,30000000,-7473856
1126,9000000,-7469465
1127,8000000,-7467810
1128,15000000,-7443292
1129,8000000,-7431305
1130,110000000,-7391173
1131,20000000,-7373095
1132,70000000,-7352460
1133,7500000,-7302852
1134,12000000,-7282545
1135,25000000,-7281777
1136,11000000,-7246194
1137,15000000,-7242870
1138,7900000,-7228760
1139,23000000,-7214368
1140,23000000,-7214368
1141,25000000,-7208969
1142,40000000,-7200000
1143,40000000,-7146360
1144,13000000,-7128397
1145,9600000,-7116045
1146,12000000,-7115337
1147,12000000,-7097000
1148,12000000,-7077834
1149,24000000,-7035257
1150,35000000,-7027590
1151,92000000,-6982599
1152,7000000,-6976162
1153,12000000,-6967504
1154,66000000,-6964896
1155,10000000,-6958197
1156,7000000,-6953549
1157,10000000,-6939142
1158,35000000,-6935774
1159,30000000,-6929955
1160,8000000,-6928760
1161,15000000,-6919884
1162,37000000,-6894032
1163,23000000,-6876149
1164,16000000,-6827190
1165,31000000,-6814219
1166,7000000,-6803933
1167,10000000,-6794756
1168,30000000,-6790560
1169,6800000,-6789304
1170,20000000,-6785970
1171,80000000,-6784690
1172,8495000,-6782889
1173,7000000,-6766897
1174,13000000,-6758303
1175,6800000,-6750474
1176,10000000,-6666177
1177,20000000,-6662701
1178,68000000,-6644564
1179,29000000,-6640707
1180,45000000,-6639805
1181,15000000,-6621859
